"id","country","gender","device","group","converted","total_spent"
"1009205","TUR","M","IOS","B","0","0.00"
"1006429","BRA","M","IOS","B","0","0.00"
"1008691","BRA","M","IOS","B","0","0.00"
"1024812","MEX","F","Android","A","0","0.00"
"1018635","USA","M","Android","B","0","0.00"
"1006709","FRA","M","Android","A","0","0.00"
"1029260","TUR","M","IOS","A","0","0.00"
"1024033","BRA","O","Android","A","0","0.00"
"1037624","MEX","M","Android","B","0","0.00"
"1035542","ESP","F","IOS","B","1","60.52"
"1045555","DEU","M","IOS","A","0","0.00"
"1003993","USA","M","IOS","A","0","0.00"
"1027850","ESP","M","IOS","B","0","0.00"
"1020016","USA","M","IOS","B","0","0.00"
"1046131","USA","F","Android","B","0","0.00"
"1028380","USA","M","Android","B","0","0.00"
"1035640","MEX","F","Android","A","0","0.00"
"1008840","USA","NA","Android","A","0","0.00"
"1019436","FRA","M","Android","A","0","0.00"
"1031258","USA","NA","Android","A","0","0.00"
"1017047","BRA","F","IOS","A","0","0.00"
"1035235","DEU","M","Android","A","0","0.00"
"1018403","BRA","F","Android","A","0","0.00"
"1002272","BRA","M","Android","B","0","0.00"
"1018719","TUR","M","Android","B","1","46.71"
"1017422","USA","M","Android","A","0","0.00"
"1011274","DEU","F","IOS","B","0","0.00"
"1001143","FRA","O","Android","A","0","0.00"
"1024028","DEU","F","Android","A","0","0.00"
"1027528","FRA","F","IOS","A","0","0.00"
"1020548","USA","M","IOS","A","0","0.00"
"1003086","USA","F","Android","B","0","0.00"
"1042604","DEU","F","Android","B","0","0.00"
"1038348","CAN","F","IOS","B","0","0.00"
"1019326","DEU","M","Android","A","0","0.00"
"1010491","MEX","NA","Android","B","0","0.00"
"1038753","USA","M","Android","A","0","0.00"
"1026063","FRA","M","Android","B","0","0.00"
"1032017","USA","NA","IOS","B","0","0.00"
"1008764","MEX","M","IOS","A","0","0.00"
"1037847","BRA","F","Android","B","0","0.00"
"1032692","TUR","F","Android","B","0","0.00"
"1024615","MEX","F","Android","A","0","0.00"
"1027618","USA","F","Android","B","0","0.00"
"1023024","AUS","F","Android","B","0","0.00"
"1001630","DEU","M","Android","B","0","0.00"
"1014745","TUR","F","IOS","A","0","0.00"
"1013333","TUR","M","Android","B","0","0.00"
"1029759","USA","M","Android","A","0","0.00"
"1017710","FRA","M","IOS","A","0","0.00"
"1002690","USA","M","IOS","A","0","0.00"
"1043094","USA","F","Android","B","0","0.00"
"1014763","BRA","O","Android","A","0","0.00"
"1046705","MEX","M","Android","A","0","0.00"
"1041299","USA","M","IOS","A","0","0.00"
"1000211","USA","M","Android","B","0","0.00"
"1028668","BRA","M","Android","B","0","0.00"
"1014882","DEU","NA","Android","A","0","0.00"
"1042550","FRA","F","IOS","B","0","0.00"
"1008888","USA","NA","IOS","A","0","0.00"
"1006820","BRA","O","Android","A","0","0.00"
"1008321","FRA","F","IOS","B","0","0.00"
"1007181","CAN","F","Android","B","0","0.00"
"1023770","USA","M","IOS","A","1","17.22"
"1013249","BRA","F","Android","A","0","0.00"
"1039580","GBR","F","IOS","B","0","0.00"
"1049733","DEU","M","Android","B","0","0.00"
"1035033","USA","NA","Android","A","0","0.00"
"1001340","BRA","NA","Android","B","0","0.00"
"1001504","FRA","NA","Android","A","0","0.00"
"1000944","BRA","F","Android","A","0","0.00"
"1016032","BRA","F","Android","A","1","14.74"
"1021498","GBR","M","Android","A","0","0.00"
"1011656","USA","F","Android","A","0","0.00"
"1048527","GBR","F","Android","B","0","0.00"
"1002065","GBR","M","IOS","B","0","0.00"
"1003194","MEX","NA","Android","B","0","0.00"
"1021790","TUR","M","Android","B","0","0.00"
"1000044","USA","NA","Android","B","0","0.00"
"1047237","TUR","M","Android","A","0","0.00"
"1042581","GBR","M","IOS","A","0","0.00"
"1021458","GBR","F","IOS","B","0","0.00"
"1010541","DEU","F","Android","B","0","0.00"
"1045022","MEX","NA","Android","B","0","0.00"
"1038669","USA","NA","IOS","A","0","0.00"
"1018297","DEU","F","IOS","A","0","0.00"
"1014535","TUR","M","Android","A","0","0.00"
"1012428","MEX","M","Android","B","0","0.00"
"1005328","TUR","M","Android","B","0","0.00"
"1024864","BRA","M","IOS","A","0","0.00"
"1005273","BRA","F","Android","B","0","0.00"
"1032888","DEU","F","Android","A","0","0.00"
"1006291","BRA","M","Android","B","0","0.00"
"1005931","BRA","F","Android","A","1","68.31"
"1041199","BRA","F","IOS","A","0","0.00"
"1005034","USA","F","Android","B","0","0.00"
"1022529","BRA","F","IOS","A","0","0.00"
"1014161","USA","NA","Android","B","0","0.00"
"1029011","MEX","M","IOS","B","0","0.00"
"1007847","USA","M","Android","B","0","0.00"
"1024401","FRA","M","Android","B","0","0.00"
"1018921","USA","M","Android","A","0","0.00"
"1002200","MEX","F","IOS","A","0","0.00"
"1029509","AUS","F","Android","A","0","0.00"
"1014562","BRA","M","IOS","A","0","0.00"
"1035990","USA","M","Android","B","0","0.00"
"1006345","GBR","M","IOS","A","0","0.00"
"1031728","TUR","F","IOS","A","0","0.00"
"1022983","GBR","F","Android","A","0","0.00"
"1045260","FRA","M","IOS","B","0","0.00"
"1025317","TUR","NA","Android","B","0","0.00"
"1024808","USA","M","Android","B","0","0.00"
"1023763","GBR","F","IOS","A","1","17.58"
"1035893","DEU","F","Android","A","0","0.00"
"1031930","DEU","NA","IOS","B","0","0.00"
"1025933","USA","F","Android","A","0","0.00"
"1035582","TUR","F","IOS","B","0","0.00"
"1038907","DEU","M","Android","A","0","0.00"
"1014415","MEX","M","IOS","B","1","34.26"
"1040411","GBR","NA","IOS","A","0","0.00"
"1041059","MEX","NA","Android","A","0","0.00"
"1001769","USA","M","IOS","B","0","0.00"
"1022175","DEU","M","Android","A","0","0.00"
"1010954","TUR","M","IOS","A","0","0.00"
"1017163","USA","F","NA","B","0","0.00"
"1020785","BRA","F","Android","B","0","0.00"
"1049243","GBR","M","IOS","B","0","0.00"
"1014221","ESP","F","IOS","A","0","0.00"
"1024890","USA","NA","Android","B","0","0.00"
"1049055","BRA","F","IOS","A","0","0.00"
"1021242","TUR","F","Android","A","0","0.00"
"1035471","BRA","NA","Android","A","0","0.00"
"1003879","FRA","M","Android","A","0","0.00"
"1034667","BRA","O","IOS","B","0","0.00"
"1008104","ESP","M","Android","B","0","0.00"
"1002297","USA","M","Android","B","0","0.00"
"1012279","BRA","NA","Android","B","0","0.00"
"1024997","TUR","M","IOS","A","0","0.00"
"1005651","BRA","M","Android","B","0","0.00"
"1019776","MEX","O","Android","A","0","0.00"
"1003867","BRA","M","IOS","A","0","0.00"
"1045695","GBR","M","IOS","B","0","0.00"
"1015765","BRA","F","Android","B","0","0.00"
"1034746","USA","M","IOS","A","0","0.00"
"1007248","MEX","F","Android","B","0","0.00"
"1034624","USA","F","Android","A","0","0.00"
"1031927","MEX","NA","Android","A","0","0.00"
"1042696","USA","M","Android","A","0","0.00"
"1025857","USA","NA","IOS","B","0","0.00"
"1049107","FRA","NA","Android","A","0","0.00"
"1015763","USA","NA","Android","B","0","0.00"
"1019231","USA","M","Android","A","0","0.00"
"1013043","USA","F","Android","A","0","0.00"
"1007095","AUS","M","Android","A","0","0.00"
"1020896","BRA","F","Android","A","0","0.00"
"1006683","USA","F","IOS","B","0","0.00"
"1006690","MEX","M","IOS","A","0","0.00"
"1004603","BRA","F","Android","A","0","0.00"
"1024388","BRA","F","IOS","B","0","0.00"
"1001536","TUR","M","Android","B","0","0.00"
"1043765","USA","M","Android","A","0","0.00"
"1047640","BRA","F","IOS","B","0","0.00"
"1045958","CAN","F","Android","A","0","0.00"
"1049260","BRA","M","IOS","A","0","0.00"
"1042190","MEX","F","Android","A","0","0.00"
"1038647","MEX","F","IOS","A","0","0.00"
"1041428","BRA","M","IOS","A","0","0.00"
"1036711","TUR","M","Android","A","0","0.00"
"1028346","TUR","F","Android","B","0","0.00"
"1030083","USA","M","Android","A","0","0.00"
"1024010","USA","M","Android","A","0","0.00"
"1024548","DEU","F","Android","B","1","45.18"
"1009019","TUR","M","IOS","A","0","0.00"
"1049820","MEX","M","Android","A","0","0.00"
"1023251","MEX","M","Android","B","0","0.00"
"1016799","USA","F","Android","A","0","0.00"
"1033727","FRA","M","IOS","A","0","0.00"
"1031290","CAN","F","Android","A","0","0.00"
"1046739","ESP","M","Android","A","0","0.00"
"1003818","USA","M","Android","B","0","0.00"
"1028967","BRA","F","IOS","B","1","57.34"
"1044498","TUR","F","Android","B","0","0.00"
"1002524","USA","M","IOS","B","0","0.00"
"1018043","MEX","F","IOS","B","0","0.00"
"1005676","MEX","F","Android","A","1","60.13"
"1021748","MEX","M","Android","A","0","0.00"
"1023943","FRA","NA","IOS","A","0","0.00"
"1039929","BRA","F","Android","A","0","0.00"
"1021528","MEX","M","IOS","A","0","0.00"
"1049252","CAN","F","Android","A","0","0.00"
"1021902","BRA","F","Android","A","0","0.00"
"1007763","USA","M","IOS","A","0","0.00"
"1018210","TUR","F","Android","A","0","0.00"
"1013760","ESP","M","Android","B","0","0.00"
"1020612","USA","F","IOS","B","0","0.00"
"1034817","DEU","O","IOS","A","0","0.00"
"1040127","BRA","M","Android","A","0","0.00"
"1033179","AUS","M","IOS","A","0","0.00"
"1008599","TUR","NA","Android","B","0","0.00"
"1040019","MEX","F","Android","A","0","0.00"
"1020431","MEX","F","Android","B","0","0.00"
"1008528","USA","F","Android","A","0","0.00"
"1010453","BRA","F","IOS","B","0","0.00"
"1048317","TUR","F","Android","A","0","0.00"
"1006365","USA","F","Android","A","1","33.83"
"1038971","BRA","F","IOS","B","0","0.00"
"1026995","BRA","M","Android","A","0","0.00"
"1012676","ESP","F","Android","B","0","0.00"
"1001756","AUS","M","Android","B","0","0.00"
"1034865","BRA","NA","IOS","A","0","0.00"
"1017147","FRA","M","Android","B","0","0.00"
"1013216","MEX","M","Android","B","0","0.00"
"1002979","TUR","F","IOS","B","0","0.00"
"1021862","TUR","F","Android","B","0","0.00"
"1042009","USA","M","IOS","B","0","0.00"
